ProductID,Date,Zip,Units,Revenue,City,State,Region,District,Country,Manufacturer,IsCompete,Product,Category,Segment
580,1/2/2015,78758,1,834.4875,"Austin, TX, USA",TX,Central,District #23,USA,VanArsdel,N,Maximus UC-45,Urban,Convenience
559,1/2/2015,76209,1,629.9475,"Denton, TX, USA",TX,Central,District #22,USA,VanArsdel,N,Maximus UC-24,Urban,Convenience
596,1/2/2015,79763,1,766.2375,"Odessa, TX, USA",TX,Central,District #22,USA,VanArsdel,N,Maximus UC-61,Urban,Convenience
2064,1/2/2015,11758,1,577.4475,"Massapequa, NY, USA",NY,East,District #03,USA,Currus,N,Currus UE-24,Urban,Extreme
2055,1/2/2015,78610,1,656.1975,"Buda, TX, USA",TX,Central,District #23,USA,Currus,N,Currus UE-15,Urban,Extreme
2169,1/2/2015,10976,1,593.1975,"Sparkill, NY, USA",NY,East,District #03,USA,Victoria,N,Victoria UE-22,Urban,Extreme
599,1/4/2015,78245,1,886.9875,"San Antonio, TX, USA",TX,Central,District #23,USA,VanArsdel,N,Maximus UC-64,Urban,Convenience
596,1/4/2015,78521,1,766.2375,"Brownsville, TX, USA",TX,Central,District #23,USA,VanArsdel,N,Maximus UC-61,Urban,Convenience
604,1/4/2015,77320,1,524.9475,"Huntsville, TX, USA",TX,Central,District #23,USA,VanArsdel,N,Maximus UC-69,Urban,Convenience
559,1/4/2015,76133,1,629.9475,"Fort Worth, TX, USA",TX,Central,District #22,USA,VanArsdel,N,Maximus UC-24,Urban,Convenience
676,1/4/2015,76087,1,761.1975,"Weatherford, TX, USA",TX,Central,District #22,USA,VanArsdel,N,Maximus UC-41,Urban,Convenience
426,1/4/2015,75063,1,976.4475,"Irving, TX, USA",TX,Central,District #22,USA,VanArsdel,Y,Maximus UM-31,Urban,Moderation
491,1/4/2015,78539,1,892.4475,"Edinburg, TX, USA",TX,Central,District #23,USA,VanArsdel,Y,Maximus UM-96,Urban,Moderation
512,1/4/2015,78664,1,246.4875,"Round Rock, TX, USA",TX,Central,District #23,USA,VanArsdel,N,Maximus UR-01,Urban,Regular
1182,1/4/2015,78516,1,215.1975,"Alamo, TX, USA",TX,Central,District #23,USA,Pirum,N,Pirum UE-18,Urban,Extreme
1182,1/4/2015,77082,1,209.9475,"Houston, TX, USA",TX,Central,District #23,USA,Pirum,N,Pirum UE-18,Urban,Extreme
1053,1/4/2015,12946,1,293.9475,"Lake Placid, NY, USA",NY,East,District #01,USA,Pirum,N,Pirum MA-11,Mix,All Season
1053,1/4/2015,77962,1,293.9475,"Ganado, TX, USA",TX,Central,District #23,USA,Pirum,N,Pirum MA-11,Mix,All Season
1120,1/4/2015,14505,1,183.6975,"Marion, NY, USA",NY,East,District #06,USA,Pirum,N,Pirum RS-08,Rural,Select
676,1/5/2015,75020,1,761.1975,"Denison, TX, USA",TX,Central,District #22,USA,VanArsdel,N,Maximus UC-41,Urban,Convenience
400,1/5/2015,77318,1,892.4475,"Willis, TX, USA",TX,Central,District #23,USA,VanArsdel,Y,Maximus UM-05,Urban,Moderation
491,1/5/2015,75662,1,892.4475,"Kilgore, TX, USA",TX,Central,District #24,USA,VanArsdel,Y,Maximus UM-96,Urban,Moderation
