ProductID,Date,Zip,Units,Revenue,City,State,District,Country,Category,Manufacturer,IsCompete,Product,Segment
443,1/1/2015,14559,1,9588.6,"Spencerport, NY, USA",NY,District #06,USA,Urban,VanArsdel,Y,Maximus UM-48,Moderation
443,1/1/2015,75021,1,9588.6,"Denison, TX, USA",TX,District #22,USA,Urban,VanArsdel,Y,Maximus UM-48,Moderation
443,1/1/2015,76542,1,9588.6,"Killeen, TX, USA",TX,District #23,USA,Urban,VanArsdel,Y,Maximus UM-48,Moderation
604,1/1/2015,77845,1,5540.85,"College Station, TX, USA",TX,District #23,USA,Urban,VanArsdel,N,Maximus UC-69,Convenience
681,1/1/2015,12804,1,7783.65,"Queensbury, NY, USA",NY,District #01,USA,Urban,VanArsdel,N,Maximus UC-46,Convenience
681,1/1/2015,14559,1,7783.65,"Spencerport, NY, USA",NY,District #06,USA,Urban,VanArsdel,N,Maximus UC-46,Convenience
681,1/1/2015,77708,1,7783.65,"Beaumont, TX, USA",TX,District #24,USA,Urban,VanArsdel,N,Maximus UC-46,Convenience
445,1/1/2015,12225,1,10092.6,"Albany, NY, USA",NY,District #01,USA,Urban,VanArsdel,Y,Maximus UM-50,Moderation
445,1/1/2015,79707,1,10092.6,"Midland, TX, USA",TX,District #22,USA,Urban,VanArsdel,Y,Maximus UM-50,Moderation
513,1/1/2015,76542,1,5417.37,"Killeen, TX, USA",TX,District #23,USA,Urban,VanArsdel,N,Maximus UE-01,Extreme
645,1/1/2015,13166,1,8473.5,"Weedsport, NY, USA",NY,District #01,USA,Urban,VanArsdel,N,Maximus UC-10,Convenience
645,1/1/2015,14482,1,8473.5,"Le Roy, NY, USA",NY,District #06,USA,Urban,VanArsdel,N,Maximus UC-10,Convenience
681,1/1/2015,11746,2,15567.3,"Huntington Station, NY, USA",NY,District #03,USA,Urban,VanArsdel,N,Maximus UC-46,Convenience
681,1/1/2015,75147,1,7783.65,"Mabank, TX, USA",TX,District #24,USA,Urban,VanArsdel,N,Maximus UC-46,Convenience
604,1/1/2015,14216,1,5540.85,"Buffalo, NY, USA",NY,District #06,USA,Urban,VanArsdel,N,Maximus UC-69,Convenience
604,1/1/2015,14513,1,5540.85,"Newark, NY, USA",NY,District #06,USA,Urban,VanArsdel,N,Maximus UC-69,Convenience
604,1/1/2015,76365,1,5540.85,"Henrietta, TX, USA",TX,District #22,USA,Urban,VanArsdel,N,Maximus UC-69,Convenience
645,1/1/2015,12846,1,8473.5,"Lake Luzerne, NY, USA",NY,District #01,USA,Urban,VanArsdel,N,Maximus UC-10,Convenience
681,1/1/2015,12225,1,7556.85,"Albany, NY, USA",NY,District #01,USA,Urban,VanArsdel,N,Maximus UC-46,Convenience
681,1/1/2015,75098,1,7783.65,"Wylie, TX, USA",TX,District #22,USA,Urban,VanArsdel,N,Maximus UC-46,Convenience
443,1/1/2015,77706,1,9588.6,"Beaumont, TX, USA",TX,District #24,USA,Urban,VanArsdel,Y,Maximus UM-48,Moderation
786,1/26/2015,77845,1,818.37,"College Station, TX, USA",TX,District #23,USA,Rural,Natura,N,Natura RP-74,Productivity
2240,1/26/2015,12308,1,1038.87,"Schenectady, NY, USA",NY,District #01,USA,Rural,Aliqui,N,Aliqui RP-37,Productivity
754,1/26/2015,11958,1,2928.87,"Peconic, NY, USA",NY,District #03,USA,Rural,Natura,N,Natura RP-42,Productivity
1949,1/26/2015,77334,1,3590.37,"Dodge, TX, USA",TX,District #23,USA,Rural,Currus,N,Currus RP-24,Productivity
797,1/26/2015,79922,1,3653.37,"El Paso, TX, USA",TX,District #39,USA,Rural,Natura,N,Natura RS-01,Select
981,1/26/2015,77845,1,2015.37,"College Station, TX, USA",TX,District #23,USA,Urban,Natura,N,Natura UC-44,Convenience
