CheckingAcctStat,Duration,CreditHistory,Purpose,CreditAmount,Savings,Employment,InstallmentRatePecnt,SexAndStatus,OtherDetorsGuarantors,PresentResidenceTime,Property,Age,OtherInstalments,Housing,ExistingCreditsAtBank,Job,NumberDependents,Telephone,ForeignWorker,CreditStatus
A11,0.205882353,A32,A43,0.161769561,A61,A73,0.333333333,A92,A101,0.333333333,A121,0.089285714,A143,A152,0,A173,0,A191,A201,1
A14,0.294117647,A32,A43,0.058380103,A62,A74,1,A94,A101,0.666666667,A122,0.125,A143,A152,0,A173,0,A192,A201,0
A14,0.205882353,A32,A43,0.069054694,A61,A73,1,A93,A101,0.333333333,A124,0.232142857,A143,A153,0,A174,0,A192,A201,0
A11,0.647058824,A32,A43,0.35809398,A61,A73,0.666666667,A92,A101,0.333333333,A123,0.214285714,A143,A152,0,A173,0,A192,A201,1
A13,0.029411765,A33,A43,0.023825245,A61,A72,0.333333333,A92,A101,0,A122,0.178571429,A141,A152,0,A173,0,A191,A201,0
A11,0.029411765,A32,A43,0.131891713,A63,A73,0.333333333,A93,A101,0.666666667,A121,0.446428571,A143,A151,0,A173,1,A191,A201,0
A14,0.205882353,A34,A46,0.088808188,A62,A73,1,A92,A101,0.333333333,A121,0.196428571,A143,A152,0.333333333,A173,0,A191,A201,1
A11,0.117647059,A32,A48,0.035875426,A61,A74,1,A94,A101,1,A122,0.035714286,A143,A151,0,A173,0,A191,A201,1
A11,0.029411765,A34,A40,0.022889843,A64,A74,0.666666667,A92,A101,1,A121,0.357142857,A143,A152,0.333333333,A172,0,A192,A201,0
A14,0.161764706,A32,A42,0.108451634,A63,A73,0.333333333,A92,A101,1,A123,0.017857143,A143,A151,0,A173,0,A191,A201,0
A14,0.470588235,A32,A40,0.036260592,A63,A75,1,A93,A101,1,A122,0.303571429,A143,A152,0,A173,0,A191,A201,0
A12,0.294117647,A34,A43,0.053152856,A62,A72,1,A93,A101,1,A124,0.339285714,A141,A152,0.333333333,A173,1,A191,A201,1
A12,0.205882353,A32,A42,0.151370089,A61,A74,0.333333333,A92,A101,1,A121,0.375,A143,A151,0,A173,0,A191,A201,0
A14,0.044117647,A33,A43,0.032794101,A65,A75,0.666666667,A93,A101,1,A124,0.303571429,A143,A153,0,A173,0,A191,A201,0
A13,0.470588235,A32,A43,0.217893694,A61,A73,1,A93,A101,0.333333333,A123,0.125,A143,A152,0,A173,0,A191,A201,1
A11,0.294117647,A32,A40,0.036590734,A65,A75,1,A92,A101,0.333333333,A123,0.178571429,A141,A152,0,A173,0,A191,A201,1
A11,0.161764706,A34,A42,0.067569055,A61,A75,1,A93,A101,1,A123,0.446428571,A143,A152,0.333333333,A173,1,A192,A201,0
A12,0.823529412,A33,A43,0.490095741,A65,A73,0.333333333,A93,A101,0.333333333,A124,0.142857143,A143,A153,0,A174,0,A191,A201,0
A14,0.205882353,A32,A49,0.093540222,A61,A74,1,A93,A101,0,A123,0.267857143,A142,A152,0.333333333,A173,0,A192,A201,0
A14,0.117647059,A34,A46,0.024815671,A61,A73,1,A93,A101,0.333333333,A123,0.232142857,A143,A152,0.333333333,A173,0,A191,A201,0
A11,0.029411765,A32,A46,0.010894685,A61,A72,1,A92,A101,1,A122,0.071428571,A143,A152,0,A173,0,A191,A201,1
A14,0.294117647,A32,A40,0.393034005,A61,A73,0,A93,A101,1,A122,0.428571429,A143,A152,0,A172,1,A191,A201,0
A13,0.117647059,A32,A42,0.110102344,A61,A73,0,A92,A101,0.333333333,A123,0.482142857,A143,A152,0,A172,0,A191,A201,0
A14,0.029411765,A34,A40,0.100693298,A63,A73,0,A94,A101,0.333333333,A123,0.089285714,A143,A152,0,A173,0,A191,A201,0
A13,0.117647059,A32,A43,0.173269506,A65,A75,0.333333333,A93,A101,0.666666667,A123,0.321428571,A143,A152,0,A174,0,A191,A201,0
A11,0.102941176,A34,A40,0.202982282,A61,A73,0,A93,A101,0.333333333,A121,0.375,A143,A152,0.333333333,A172,1,A191,A201,0
A11,0.161764706,A34,A42,0.06509299,A61,A73,1,A92,A101,0.666666667,A122,0.107142857,A143,A151,0.333333333,A173,0,A191,A201,0
A13,0.205882353,A32,A40,0.094145483,A61,A75,0.666666667,A92,A101,0.333333333,A123,0.071428571,A143,A152,0,A174,0,A191,A201,0
A11,0.117647059,A32,A46,0.052272477,A65,A73,1,A92,A101,1,A122,0.071428571,A141,A151,0,A173,0,A192,A201,0
A14,0.205882353,A34,A43,0.04946627,A64,A73,1,A93,A101,0.666666667,A121,0.482142857,A143,A152,0.333333333,A173,0,A191,A201,0
A14,0.117647059,A34,A43,0.05727963,A61,A73,1,A92,A101,0.333333333,A122,0.285714286,A143,A152,0.333333333,A173,0,A191,A201,0
A14,0.823529412,A32,A43,0.544404094,A62,A74,0.333333333,A92,A101,1,A121,0.035714286,A143,A152,0,A173,0,A192,A201,0
A13,0.294117647,A32,A42,0.092164631,A61,A73,0.333333333,A93,A101,0.333333333,A121,0.125,A143,A152,0,A173,0,A191,A201,0
A14,0.117647059,A31,A48,0.175910642,A63,A73,1,A92,A101,0.666666667,A121,0.285714286,A143,A152,0,A172,1,A191,A201,0
A14,0.117647059,A34,A43,0.039947177,A65,A75,1,A93,A101,1,A123,0.285714286,A143,A152,0.333333333,A173,0,A191,A201,0
A12,0.647058824,A33,A49,0.353857159,A65,A73,1,A93,A101,1,A124,0.339285714,A143,A153,0,A173,1,A192,A201,0
A13,0.088235294,A34,A43,0.060360955,A65,A74,1,A93,A101,0.333333333,A122,0.142857143,A143,A152,0.333333333,A173,0,A192,A201,0
A14,0.294117647,A34,A40,0.097501926,A61,A73,1,A92,A101,1,A123,0.321428571,A143,A152,0,A173,0,A192,A201,0
A14,0.338235294,A32,A45,0.271816881,A65,A75,1,A93,A101,1,A122,0.517857143,A143,A152,1,A173,1,A192,A201,0
A14,0.382352941,A34,A43,0.235501266,A61,A74,1,A92,A101,1,A123,0.125,A143,A151,0,A174,0,A192,A201,0
