CustomerID,BikeBuyer,AvgMonthSpend
21173,1,50.97
13249,1,53.11
29350,1,54.08
13503,1,56.93
22803,1,55.41
22092,1,49.31
11229,0,56.01
24179,1,49.29
12127,1,50.05
19903,0,54.15
25924,0,54.02
23033,0,58.29
20029,1,52.66
22031,0,52.5
23770,0,49.61
23737,1,49.04
17127,1,50.48
28130,1,51
28455,0,58.69
20161,0,52.3
21325,0,50.38
12128,1,53.22
23679,0,51.88
26799,0,49.72
15726,1,48.76
15473,1,52.03
28685,1,49.89
12302,1,51.15
23523,1,53.53
18713,0,50.59
24082,1,49.29
27886,0,49
21711,1,54.71
22366,1,55.64
15010,0,50.55
22296,0,50.16
23237,0,51.02
13832,1,52.17
26026,1,52.31
17813,1,53.13
26369,0,48.89
18824,0,52.46
21064,0,50.21
28532,1,53.97
16183,0,50.85
25700,0,47.53
21746,1,50.48
26560,0,50.57
16988,1,48.1
18562,1,51.99
14996,1,51.43
26741,1,55.52
19490,1,50.76
12720,1,47.68
14050,1,57.1
11926,0,46.25
28023,0,51.34
22541,0,51.29
23192,1,49.64
24957,1,50.98
11867,0,58.85
11929,1,52.81
27994,1,53.16
21068,1,49.8
26332,1,59.05
20232,1,54.19
15029,0,55.8
28907,0,48.95
11887,1,55.26
16809,1,51.75
18033,1,51.48
27605,1,55.34
14106,1,51.97
29293,1,54.5
17669,1,48.12
23540,0,57.27
19710,0,54.25
21495,0,53.22
14773,1,52.19
29082,0,46.19
14021,0,45.76
23689,1,50.02
13485,1,53.77
14179,0,51.62
15084,0,50.42
27193,0,52.17
20423,0,53.1
18300,1,50.64
21781,1,52.48
28780,1,52.85
25162,1,59.52
26829,1,52.61
11345,1,53.81
22539,0,52.65
26226,1,51.69
22654,0,56.39
20389,0,50.62
27716,1,57.61
23670,0,47.02
28410,0,48.54
21755,1,56.63
12254,0,50.09
17082,0,52.78
25122,1,51.61
25619,1,48.05
24940,0,48.53
13117,0,48.33
12460,1,54.89
13619,0,51.31
23455,0,50.51
20986,1,50.25
26141,1,56.85
19074,1,50.94
23214,1,54.67
11313,1,55.61
26113,1,54.2
15865,0,49.68
25060,0,54.55
17902,0,54.11
27898,0,49.58
19921,0,53.03
21186,0,56.24
19129,1,52.27
25626,0,47.28
15009,0,51.54
22070,0,57.71
13303,1,54.24
27822,1,48.11
14908,1,50.06
27981,0,55.41
15995,1,51.7
23808,1,54.03
18679,1,52.71
23721,1,52.73
21351,0,51
17867,1,52.96
16907,1,49.14
20288,0,52.62
22874,1,61.12
20681,1,51.66
15370,1,48.74
22593,1,50.33
11884,1,52.71
25021,0,50.78
15982,0,53.52
19088,0,48.73
19331,0,60.78
16587,1,57.06
11260,0,51.26
18687,1,52.95
25906,1,49.93
22969,0,48.8
29397,1,52.42
25702,1,53.16
12346,0,56.7
18272,1,51.04
25159,0,49.99
25368,0,56.33
13369,1,50.8
